Brand,Price,Processor_Brand,RAM_Expandable,RAM_Capacity,RAM_TYPE(DDR),Display_type,GPU_Brand,HDD(GB),Processor_Category,Display_Tier,GPU_Tier,Processor_Speed(Ghz),SSD(GB)
Acer,115465.0,AMD,Yes,8,LP5,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,3.0,512
ASUS,272965.0,AMD,Yes,16,4,LCD,NVIDIA,0,AMD Ryzen 7,Large,Mid-end,3.0,512
Dell,118965.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,1.0,256
Dell,279965.0,AMD,No,16,5,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,3.5,512
ASUS,321965.0,AMD,No,16,4,LED,AMD,0,AMD Ryzen 5,Small,Entry-level,4.0,512
Acer,108465.0,AMD,No,8,LP5,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,2.5,512
HP,225928.5,AMD,Yes,8,4,LCD,NVIDIA,0,AMD Ryzen 5,Small,Mid-end,4.0,512
Other,97965.0,Intel,No,8,LP4,LCD,Intel,0,Intel I3,Small,Entry-level,3.5,512
Acer,250180.0,Intel,No,8,LP4,LED,Intel,0,Intel I5,Small,Low-end,4.0,512
Apple,318150.0,Apple,Yes,8,4,LED,Apple,0,Apple M-series,Small,High-end,3.0,256
Other,150496.5,Intel,Yes,8,LP4,LCD,Intel,0,Intel I3,Small,Entry-level,3.0,256
Apple,237965.0,Intel,No,8,LP3,LED,Intel,0,Intel I5,Small,Entry-level,2.0,128
HP,217392.0,AMD,Yes,8,4,LED,NVIDIA,0,AMD Ryzen 5,Large,Mid-end,3.5,512
ASUS,202965.0,Intel,No,8,4,LED,NVIDIA,0,Intel I5,Large,Mid-end,2.0,512
ASUS,83314.0,Intel,Yes,4,4,LED,Intel,1024,Intel Celeron,Small,Entry-level,1.0,0
HP,199465.0,AMD,Yes,8,4,LED,NVIDIA,0,AMD Ryzen 5,Small,Mid-end,3.5,512
HP,118965.0,Intel,No,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,4.0,256
ASUS,125965.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,1.0,512
HP,129580.5,Intel,No,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,4.0,512
Acer,173250.0,Intel,No,8,4,LED,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
ASUS,118965.0,Intel,No,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.0,512
HP,129465.0,AMD,Yes,8,4,LED,AMD,1024,AMD Ryzen 3,Small,Low-end,2.5,256
ASUS,146996.5,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Low-end,2.5,512
ASUS,164465.0,Intel,No,16,4,LCD,Intel,0,Intel I5,Small,Low-end,2.5,512
ASUS,178465.0,Intel,Yes,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
Apple,325465.0,Apple,No,8,5,LCD,Apple,0,Apple M-series,Small,High-end,3.5,256
HP,127746.5,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,4.0,512
Acer,173215.0,AMD,Yes,8,4,LCD,NVIDIA,0,AMD Ryzen 5,Small,Mid-end,2.0,512
Acer,199465.0,AMD,Yes,16,4,LED,NVIDIA,0,AMD Ryzen 5,Small,Mid-end,3.0,512
Acer,173215.0,AMD,Yes,8,4,LED,NVIDIA,0,AMD Ryzen 5,Small,Mid-end,2.0,512
ASUS,157465.0,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Entry-level,1.0,512
Lenovo,118650.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.0,512
HP,108465.0,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,2.5,512
