Brand,Price,Processor_Brand,RAM_Expandable,RAM_Capacity,RAM_TYPE(DDR),Display_type,GPU_Brand,HDD(GB),Processor_Category,Display_Tier,GPU_Tier,Processor_Speed(Ghz),SSD(GB)
ASUS,419965.0,Intel,Yes,16,5,LCD,NVIDIA,0,Intel I7,Small,Mid-end,2.5,1024
Dell,150465.0,Intel,Yes,8,4,LCD,Intel,1024,Intel I5,Small,Entry-level,3.0,256
Dell,360465.0,Intel,Yes,16,4,LCD,NVIDIA,0,Intel I7,Small,Mid-end,2.5,512
ASUS,227465.0,AMD,Yes,16,LP5,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,3.0,512
HP,202996.5,AMD,No,8,5,LCD,NVIDIA,0,AMD Ryzen 5,Small,Mid-end,4.5,512
Dell,197365.0,Intel,Yes,8,4,LCD,NVIDIA,0,Intel I5,Small,Low-end,3.5,512
ASUS,336000.0,Intel,No,16,4,LED,Intel,0,Intel I7,Small,Low-end,2.5,512
ASUS,367062.5,Intel,No,16,4,LCD,Intel,0,Intel I7,Small,Low-end,2.5,512
HP,404246.5,Intel,Yes,8,4,LCD,Intel,0,Intel I7,Small,Entry-level,3.0,512
Apple,1224650.0,Apple,No,32,5,LCD,Apple,0,Apple M-series,Large,High-end,3.5,1024
ASUS,244688.5,Intel,No,8,LP3,LED,Intel,0,Intel I5,Small,Entry-level,1.5,512
ASUS,539000.0,AMD,No,16,4,LCD,NVIDIA,0,AMD Ryzen 7,Large,Mid-end,3.0,1024
Dell,239746.5,Intel,Yes,16,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,4.5,512
ASUS,367465.0,AMD,No,16,LP4,LED,AMD,0,AMD Ryzen 7,Small,Entry-level,2.0,1024
HP,598465.0,Intel,No,16,5,LCD,NVIDIA,0,Intel I7,Large,High-end,4.5,1024
HP,360710.0,Intel,Yes,16,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,4.5,512
Dell,216825.0,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Low-end,2.5,512
ASUS,402465.0,AMD,No,16,LP5,LED,AMD,0,AMD Ryzen 7,Small,Entry-level,2.5,1024
ASUS,77350.0,Intel,No,4,4,LCD,Intel,0,Intel Celeron,Small,Entry-level,1.0,256
Acer,111965.0,AMD,No,8,4,LED,AMD,0,AMD Ryzen 3,Small,Entry-level,3.5,512
HP,128796.5,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 5,Small,Low-end,2.0,512
ASUS,206465.0,AMD,No,16,4,LED,AMD,0,AMD Ryzen 5,Small,Entry-level,4.0,1024
ASUS,136815.0,AMD,Yes,8,LP5,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,4.0,512
HP,271250.0,AMD,Yes,16,5,LCD,AMD,0,AMD Ryzen 7,Small,Entry-level,4.5,1024
Other,570465.0,Intel,No,16,LP5,LCD,Intel,0,Intel I7,Small,Low-end,4.5,256
ASUS,145250.0,AMD,No,4,4,LED,AMD,0,AMD Ryzen 5,Small,Low-end,2.0,256
Lenovo,475996.5,Intel,No,8,4,LED,NVIDIA,1024,Intel I7,Small,Mid-end,2.5,256
HP,469315.0,Intel,Yes,16,4,LCD,NVIDIA,0,Intel I7,Large,Mid-end,2.5,1024
Dell,284865.0,Intel,No,16,LP5,LCD,Intel,0,Intel I7,Small,Low-end,5.0,512
HP,582746.5,Intel,No,16,4,LED,NVIDIA,0,Intel I7,Large,High-end,3.0,1024
ASUS,752500.0,AMD,Yes,16,5,LCD,NVIDIA,0,AMD Ryzen 9,Small,High-end,5.0,1024
HP,507496.5,Intel,No,32,LP4,LED,Intel,0,Intel I7,Small,Low-end,5.0,1024
Dell,199496.5,Intel,Yes,8,LP5,LCD,Intel,0,Intel I5,Small,Low-end,3.5,512
Other,311391.5,Intel,Yes,8,LP5,LCD,Intel,0,Intel I5,Small,Low-end,4.0,256
Lenovo,167965.0,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Entry-level,1.5,512
ASUS,244996.5,Intel,No,16,4,LCD,Intel,0,Intel I5,Small,Low-end,1.5,512
Lenovo,97615.0,Intel,No,8,4,LCD,Intel,0,Intel Celeron,Small,Entry-level,1.0,256
HP,319375.0,Intel,No,16,4,LCD,Intel,0,Intel I7,Small,Low-end,4.5,512
Lenovo,115465.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.0,512
ASUS,127225.0,Intel,No,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.0,256
Acer,349965.0,AMD,No,16,LP4,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,2.5,1024
ASUS,115150.0,AMD,Yes,8,5,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,4.0,512
HP,260466.5,Intel,No,8,LP4,LED,Intel,0,Intel I5,Small,Low-end,1.0,512
Dell,464765.0,Intel,Yes,16,5,LCD,NVIDIA,0,Intel I9,Small,High-end,4.0,1024
Other,230965.0,Intel,No,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
Acer,332496.5,Intel,Yes,16,5,LCD,NVIDIA,0,Intel I7,Small,Mid-end,3.0,512
ASUS,412965.0,Intel,Yes,16,LP5,LED,Intel,0,Intel I7,Small,Low-end,2.0,512
HP,381150.0,Intel,No,16,4,LED,Intel,0,Intel I7,Small,Low-end,4.5,512
HP,594996.5,Intel,Yes,16,5,LCD,NVIDIA,0,Intel I7,Large,Mid-end,4.5,1024
ASUS,307965.0,Intel,Yes,16,LP5,LED,Intel,0,Intel I5,Small,Low-end,4.5,512
MSI,320565.0,Intel,Yes,16,4,LCD,NVIDIA,0,Intel I7,Small,Mid-end,4.5,512
MSI,332465.0,AMD,Yes,16,5,LCD,NVIDIA,0,AMD Ryzen 7,Large,Mid-end,4.5,1024
ASUS,207865.0,AMD,No,8,4,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,4.0,512
Dell,374465.0,Intel,Yes,16,5,LCD,NVIDIA,0,Intel I7,Small,Mid-end,3.5,512
Dell,343000.0,Intel,No,16,4,LCD,NVIDIA,0,Intel I7,Large,Low-end,4.5,512
ASUS,309715.0,AMD,Yes,16,5,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,4.5,1024
Lenovo,320250.0,Intel,No,16,4,LCD,Intel,0,Intel I7,Small,Low-end,3.0,512
Other,675465.0,Intel,No,16,LP5,LCD,Intel,0,Intel I7,Small,Low-end,4.5,512
Lenovo,194946.5,Intel,No,4,4,LED,NVIDIA,1024,Intel I5,Small,Low-end,2.5,0
HP,92715.0,AMD,No,8,4,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,2.5,512
ASUS,335615.0,Intel,No,16,4,LED,NVIDIA,0,Intel I5,Small,Mid-end,4.0,1024
ASUS,216965.0,Intel,No,8,4,LED,Intel,1024,Intel I5,Small,Entry-level,2.5,256
Lenovo,783996.5,Intel,Yes,16,LP4,LCD,Intel,0,Intel I7,Small,Entry-level,3.0,1024
Lenovo,250071.5,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Entry-level,4.0,512
Other,721875.0,Intel,Yes,16,4,LCD,NVIDIA,0,Intel I7,Small,Mid-end,2.5,1024
Dell,594965.0,Intel,Yes,16,LP5,LCD,NVIDIA,0,Intel I7,Small,Mid-end,3.5,512
ASUS,230965.0,Intel,No,8,4,LCD,NVIDIA,0,Intel I7,Small,Mid-end,2.0,512
Acer,119000.0,Intel,No,4,4,LCD,Intel,1024,Intel I3,Small,Entry-level,2.0,0
Other,360465.0,Intel,No,8,LP5,LCD,Intel,0,Intel I5,Small,Low-end,4.0,128
Dell,251615.0,Intel,Yes,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
ASUS,419965.0,AMD,No,16,5,LCD,AMD,0,AMD Ryzen 7,Small,High-end,4.5,1024
Lenovo,111996.5,Intel,No,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.0,256
HP,320250.0,Intel,No,16,4,LCD,NVIDIA,0,Intel I7,Small,Mid-end,4.5,1024
Lenovo,192325.0,Intel,Yes,16,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,3.0,512
MSI,143465.0,Intel,No,16,4,LCD,Intel,0,Intel I5,Small,Low-end,2.5,512
ASUS,227465.0,Intel,No,16,4,LED,Intel,0,Intel I5,Small,Low-end,4.5,512
Acer,370996.5,AMD,Yes,16,4,LCD,NVIDIA,1024,AMD Ryzen 5,Small,Mid-end,3.5,512
ASUS,385000.0,AMD,No,16,LP5,LED,AMD,0,AMD Ryzen 5,Small,Entry-level,3.0,512
Other,640465.0,Intel,No,16,LP5,LCD,Intel,0,Intel I7,Small,Low-end,4.5,512
HP,355491.5,AMD,No,8,4,LCD,AMD,0,AMD Ryzen 7,Small,Entry-level,4.5,512
ASUS,337750.0,Intel,No,16,LP5,LED,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
ASUS,279965.0,AMD,No,16,5,LCD,AMD,0,AMD Ryzen 7,Small,Entry-level,4.0,512
ASUS,612500.0,AMD,Yes,16,5,LCD,NVIDIA,0,AMD Ryzen 9,Small,Mid-end,5.0,1024
ASUS,220465.0,Intel,No,16,4,LED,Intel,0,Intel I5,Small,Entry-level,4.5,512
HP,124635.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,4.0,512
HP,223965.0,Intel,No,16,4,LED,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
Acer,174965.0,AMD,Yes,8,LP4,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,2.0,512
Dell,343000.0,Intel,Yes,16,4,LCD,Intel,0,Intel I5,Large,Entry-level,3.0,512
HP,509215.0,Intel,No,16,4,LCD,Intel,0,Intel I7,Large,Low-end,4.5,512
Lenovo,500465.0,AMD,No,16,4,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,4.0,1024
Lenovo,304496.5,Intel,No,16,4,LED,Intel,0,Intel I5,Small,Low-end,2.5,512
ASUS,244965.0,Intel,No,16,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
ASUS,437482.5,Intel,No,16,5,LCD,NVIDIA,0,Intel I7,Small,Mid-end,2.5,512
ASUS,734965.0,AMD,Yes,16,5,LCD,NVIDIA,0,AMD Ryzen 9,Large,Mid-end,5.0,1024
MSI,262465.0,Intel,Yes,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,4.0,512
HP,531965.0,Intel,No,16,5,LCD,NVIDIA,0,Intel I7,Large,Mid-end,5.0,512
ASUS,332360.0,Intel,Yes,8,3,LCD,Intel,0,Intel I7,Small,Entry-level,2.5,512
Dell,384965.0,Intel,No,8,4,LCD,NVIDIA,0,Intel I7,Small,Mid-end,2.5,512
Other,447965.0,Intel,No,16,4,LCD,Intel,0,Intel I7,Small,Low-end,2.0,256
Dell,181965.0,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Entry-level,2.5,512
Lenovo,187481.0,AMD,Yes,16,4,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,2.5,512
Lenovo,451496.5,Intel,No,16,LP4,LED,Intel,0,Intel I7,Small,Low-end,3.0,1024
Lenovo,247100.0,Intel,Yes,16,4,LCD,Intel,0,Intel I5,Small,Low-end,3.5,512
Lenovo,614915.0,Intel,Yes,16,LP5,LED,Intel,0,Intel I7,Small,Low-end,3.5,1024
HP,265650.0,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Low-end,4.0,512
Other,581696.5,Intel,No,16,4,LCD,NVIDIA,0,Intel I7,Small,High-end,2.5,1024
HP,531965.0,Intel,No,16,LP4,LED,Intel,0,Intel I7,Small,Low-end,4.5,1024
Other,916965.0,Intel,No,32,LP5,LCD,Intel,0,Intel I7,Small,Low-end,4.5,1024
HP,202646.5,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Entry-level,4.0,512
Lenovo,153965.0,Intel,Yes,8,5,LCD,Intel,0,Intel I3,Small,Entry-level,4.0,512
Dell,241258.5,AMD,No,16,4,LCD,AMD,0,AMD Ryzen 7,Small,Entry-level,3.5,512
Lenovo,279965.0,Intel,Yes,16,LP5,LED,Intel,0,Intel I5,Small,Low-end,3.5,512
MSI,438861.5,Intel,No,16,LP5,LCD,Intel,0,Intel I7,Large,Low-end,5.0,1024
ASUS,332150.0,AMD,No,16,4,LED,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,3.5,1024
Lenovo,605465.0,Intel,Yes,32,5,LCD,NVIDIA,0,Intel I7,Large,High-end,1.5,1024
ASUS,507465.0,Intel,No,16,LP5,LED,Intel,0,Intel I7,Small,Low-end,2.5,1024
MSI,132965.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,4.0,512
ASUS,220430.0,Intel,Yes,16,4,LCD,Intel,0,Intel I5,Small,Entry-level,1.5,512
ASUS,99627.5,Intel,No,4,4,LCD,Intel,0,Intel Celeron,Small,Entry-level,3.0,256
Other,524965.0,Intel,Yes,16,LP4,LCD,NVIDIA,0,Intel I7,Small,Low-end,4.0,1024
HP,195996.5,AMD,Yes,8,4,LCD,NVIDIA,0,AMD Ryzen 5,Large,Mid-end,4.0,512
ASUS,283465.0,AMD,Yes,8,4,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,3.0,1024
Dell,594965.0,Intel,No,16,LP5,LCD,Intel,0,Intel I7,Small,Low-end,3.5,1024
MSI,630000.0,Intel,Yes,16,4,LED,NVIDIA,1024,Intel I7,Large,High-end,2.5,512
HP,131250.0,Intel,No,8,4,LED,Intel,0,Intel I3,Small,Entry-level,4.0,256
ASUS,125965.0,Intel,No,16,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.0,512
Acer,305224.5,Intel,No,8,LP3,LED,Intel,0,Intel I7,Small,Entry-level,1.5,256
Other,97965.0,Intel,No,8,LP4,LCD,Intel,0,Intel I3,Small,Entry-level,1.0,256
HP,140875.0,Intel,Yes,16,4,LCD,Intel,0,Intel I3,Small,Entry-level,1.0,512
HP,258965.0,Intel,No,16,4,LCD,NVIDIA,0,Intel I5,Small,Low-end,4.5,512
ASUS,125965.0,AMD,No,8,LP5,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,2.5,512
ASUS,188965.0,Intel,No,16,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,3.0,512
Samsung,188965.0,Intel,Yes,16,4,LED,Intel,0,Intel I5,Small,Low-end,4.0,512
ASUS,125965.0,AMD,No,8,LP5,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,4.0,512
HP,129465.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,1.0,512
Lenovo,173215.0,Intel,Yes,8,4,LED,NVIDIA,1024,Intel I5,Small,Entry-level,2.5,0
ASUS,146965.0,Intel,No,16,4,LCD,Intel,0,Intel I3,Small,Entry-level,1.0,512
ASUS,167965.0,AMD,No,8,4,LCD,AMD,1024,AMD Ryzen 5,Small,Entry-level,4.0,256
ASUS,110250.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,1.5,256
ASUS,132965.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,1.0,512
Other,101465.0,Intel,No,8,4,LCD,Intel,0,Intel I5,Small,Entry-level,2.5,512
ASUS,69965.0,Intel,No,4,4,LCD,Intel,0,Intel Celeron,Small,Entry-level,3.0,256
Other,104965.0,Intel,Yes,8,LP4,LCD,Intel,0,Intel I3,Small,Entry-level,4.0,512
MSI,183715.0,Intel,No,16,4,LCD,Intel,0,Intel I5,Small,Mid-end,3.5,512
ASUS,122465.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,2.0,512
Lenovo,244965.0,AMD,Yes,16,5,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,3.0,512
HP,241465.0,Intel,Yes,16,4,LCD,Intel,0,Intel I5,Small,Low-end,4.0,512
Other,185465.0,Intel,No,16,LP4,LCD,Intel,0,Intel I5,Small,Low-end,4.0,512
ASUS,290496.5,Intel,Yes,16,4,LCD,NVIDIA,0,Intel I7,Small,Mid-end,2.5,1024
Other,101465.0,Intel,No,8,LP4,LCD,Intel,0,Intel I5,Small,Low-end,4.5,512
ASUS,272650.0,AMD,Yes,16,4,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,4.0,512
MSI,205065.0,Intel,No,16,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,4.0,512
Lenovo,199465.0,Intel,Yes,16,LP5,LCD,Intel,0,Intel I5,Small,Entry-level,2.0,512
ASUS,209965.0,Intel,Yes,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
ASUS,213465.0,AMD,No,16,4,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,3.0,512
HP,230965.0,AMD,Yes,8,5,LCD,NVIDIA,0,AMD Ryzen 5,Small,Mid-end,3.5,512
ASUS,174965.0,AMD,No,16,4,LCD,AMD,0,AMD Ryzen 5,Large,Entry-level,2.0,512
HP,140462.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,4.0,512
HP,305550.0,Intel,No,16,4,LCD,Intel,0,Intel I7,Small,Entry-level,3.5,512
Lenovo,118965.0,AMD,Yes,8,LP5,LCD,AMD,0,AMD Ryzen 3,Small,Low-end,2.5,512
ASUS,223996.5,Intel,No,8,4,LCD,Intel,0,Intel I5,Small,Low-end,2.5,512
HP,129465.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.5,512
HP,185496.5,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Low-end,4.0,512
Lenovo,115465.0,Intel,No,4,4,LED,Intel,0,Intel I3,Small,Entry-level,3.0,256
ASUS,271425.0,Intel,No,16,LP5,LED,NVIDIA,0,Intel I5,Small,Mid-end,2.0,512
ASUS,265965.0,Intel,No,16,4,LED,Intel,0,Intel I7,Small,Low-end,3.0,512
HP,192465.0,Intel,No,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,4.0,512
ASUS,230965.0,AMD,Yes,16,4,LCD,NVIDIA,0,AMD Ryzen 5,Small,Mid-end,3.5,512
ASUS,80465.0,Intel,No,8,4,LCD,Intel,0,Intel Celeron,Small,Entry-level,1.0,256
ASUS,213465.0,Intel,Yes,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
Lenovo,237965.0,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Entry-level,1.5,512
Lenovo,335965.0,Intel,Yes,16,5,LCD,NVIDIA,0,Intel I7,Small,Mid-end,2.5,512
MSI,227465.0,Intel,No,16,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,3.5,512
Lenovo,342965.0,AMD,No,16,4,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,3.0,512
Lenovo,254800.0,Intel,No,16,4,LCD,Intel,0,Intel I5,Small,Low-end,3.5,1024
MSI,209965.0,Intel,No,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,3.5,512
MSI,179865.0,AMD,No,8,5,LCD,AMD,0,AMD Ryzen 5,Small,Mid-end,4.0,512
Lenovo,115115.0,AMD,Yes,8,LP5,LCD,AMD,0,AMD Ryzen 3,Small,Low-end,2.5,512
MSI,114065.0,Intel,Yes,8,LP4,LCD,Intel,0,Intel I3,Small,Entry-level,3.5,512
Acer,150465.0,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Low-end,2.5,512
MSI,384965.0,Intel,No,16,5,LCD,NVIDIA,0,Intel I7,Large,Mid-end,4.5,1024
HP,136766.0,Intel,No,4,4,LED,Intel,1024,Intel I3,Small,Entry-level,2.0,0
HP,486465.0,Intel,Yes,16,5,LCD,NVIDIA,0,Intel I7,Large,Mid-end,5.5,1024
ASUS,192465.0,AMD,No,16,4,LCD,AMD,0,AMD Ryzen 7,Large,Entry-level,2.0,512
Dell,190746.5,Intel,Yes,8,4,LCD,Intel,1024,Intel I5,Small,Entry-level,3.5,256
HP,219971.5,Intel,No,16,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,5.0,512
ASUS,314965.0,AMD,No,16,4,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,4.5,512
Lenovo,250215.0,Intel,Yes,16,4,LCD,Intel,0,Intel I5,Small,Entry-level,1.5,512
Other,153965.0,Intel,No,16,LP5,LCD,Intel,0,Intel I7,Small,Low-end,2.5,512
MSI,451465.0,Intel,No,8,5,LCD,NVIDIA,0,Intel I7,Large,Mid-end,5.0,1024
ASUS,392805.0,AMD,Yes,16,4,LCD,NVIDIA,0,AMD Ryzen 7,Large,Mid-end,3.5,512
HP,395465.0,Intel,No,16,5,LCD,NVIDIA,0,Intel I7,Large,Mid-end,5.0,1024
HP,196350.0,Intel,Yes,16,4,LCD,Intel,0,Intel I5,Small,Low-end,4.0,512
MSI,115465.0,Intel,No,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,1.0,256
ASUS,706965.0,AMD,No,16,5,LCD,NVIDIA,0,AMD Ryzen 9,Small,High-end,5.0,1024
HP,122465.0,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,2.5,512
Lenovo,172865.0,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 7,Small,Entry-level,2.0,512
ASUS,118965.0,AMD,Yes,8,LP5,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,4.0,1024
MSI,524996.5,Intel,No,16,4,LCD,NVIDIA,0,Intel I9,Large,Mid-end,4.5,1024
Lenovo,399665.0,Intel,Yes,16,LP5,LED,Intel,0,Intel I7,Small,Entry-level,3.0,1024
ASUS,369250.0,AMD,Yes,16,LP4,LED,NVIDIA,0,AMD Ryzen 9,Small,Mid-end,3.0,1024
ASUS,706965.0,AMD,No,16,5,LCD,NVIDIA,0,AMD Ryzen 9,Small,High-end,5.0,1024
Lenovo,125996.5,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.0,256
Samsung,461965.0,Intel,Yes,16,LP4,LED,Intel,0,Intel Ultra 7,Small,Low-end,5.0,512
Lenovo,157465.0,AMD,Yes,16,4,LCD,AMD,0,AMD Ryzen 7,Small,Entry-level,2.0,512
HP,114271.5,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Low-end,4.0,512
MSI,276465.0,Intel,No,16,5,LCD,NVIDIA,0,Intel I5,Small,Mid-end,3.5,1024
MSI,475965.0,Intel,No,16,5,LCD,NVIDIA,0,Intel I9,Small,Mid-end,5.0,1024
Samsung,507465.0,Intel,Yes,16,LP5,LED,Intel,0,Intel Ultra 7,Large,Low-end,5.0,512
ASUS,269465.0,AMD,No,8,4,LCD,NVIDIA,0,AMD Ryzen 7,Large,Mid-end,4.0,512
HP,118996.5,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,2.0,512
MSI,160965.0,Intel,No,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,1.0,512
ASUS,381465.0,Intel,Yes,16,4,LCD,NVIDIA,0,Intel I7,Small,Mid-end,1.5,512
Dell,244965.0,Intel,Yes,16,4,LCD,Intel,0,Intel I7,Small,Entry-level,1.5,512
HP,195965.0,AMD,No,16,4,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,4.0,1024
ASUS,363265.0,AMD,No,8,4,LED,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,3.0,1024
HP,311465.0,Intel,Yes,16,4,LCD,NVIDIA,0,Intel I7,Small,Mid-end,4.5,512
HP,183886.5,AMD,No,16,4,LCD,AMD,0,AMD Ryzen 5,Small,Mid-end,4.0,512
HP,118965.0,Intel,No,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,4.0,512
Lenovo,287665.0,AMD,Yes,16,5,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,4.5,512
Lenovo,294665.0,Intel,Yes,16,LP5,LCD,Intel,0,Intel I7,Large,Low-end,2.5,1024
ASUS,759465.0,AMD,Yes,16,5,LCD,NVIDIA,0,AMD Ryzen 9,Large,High-end,5.0,1024
Other,297360.0,Intel,Yes,8,4,LCD,Intel,0,Intel I7,Small,Entry-level,2.0,512
ASUS,741965.0,AMD,No,16,5,LCD,NVIDIA,0,AMD Ryzen 9,Small,High-end,5.0,1024
ASUS,992561.5,Intel,No,32,5,LCD,NVIDIA,0,Intel I9,Small,High-end,2.5,1024
ASUS,139965.0,Intel,Yes,8,4,LED,Intel,0,Intel I5,Small,Entry-level,2.5,512
ASUS,281715.0,AMD,No,8,4,LED,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,3.0,512
ASUS,248465.0,AMD,No,16,4,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,3.0,1024
HP,594965.0,Intel,No,32,LP5,LED,Intel,0,Intel Ultra 7,Small,Low-end,5.0,1024
HP,580755.0,Intel,Yes,32,LP5,LED,Intel,0,Intel Ultra 7,Small,Low-end,5.0,1024
MSI,433965.0,Intel,Yes,16,5,LED,NVIDIA,0,Intel I7,Small,Mid-end,3.5,1024
ASUS,370965.0,AMD,Yes,8,4,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,3.0,1024
Samsung,258965.0,Intel,No,16,LP4,LCD,Intel,0,Intel I7,Small,Low-end,1.5,512
MSI,769965.0,Intel,Yes,32,5,LCD,NVIDIA,0,Intel I7,Large,Mid-end,5.0,1024
ASUS,594930.0,AMD,No,16,5,LCD,AMD,0,AMD Ryzen 9,Small,Entry-level,5.0,1024
ASUS,664965.0,AMD,No,16,5,LCD,NVIDIA,0,AMD Ryzen 9,Small,High-end,5.0,1024
ASUS,705064.5,AMD,Yes,32,5,LCD,NVIDIA,0,AMD Ryzen 9,Small,Mid-end,5.0,1024
ASUS,377968.5,AMD,No,16,5,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,4.5,1024
Acer,104996.5,AMD,Yes,8,4,LCD,Intel,1024,AMD Ryzen 3,Small,Entry-level,3.0,0
Lenovo,167965.0,Intel,No,8,4,LCD,Intel,0,Intel I5,Small,Entry-level,1.5,512
ASUS,573965.0,AMD,No,16,5,LCD,AMD,0,AMD Ryzen 9,Large,Low-end,5.0,1024
ASUS,349965.0,AMD,No,16,4,LED,NVIDIA,0,AMD Ryzen 9,Small,Mid-end,3.0,1024
Lenovo,112000.0,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,3.5,512
ASUS,671965.0,Intel,No,16,LP5,LCD,NVIDIA,0,Intel I9,Small,Mid-end,2.5,1024
HP,169715.0,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 7,Small,Entry-level,4.0,512
Lenovo,355215.0,Intel,No,16,5,LCD,NVIDIA,0,Intel I7,Small,Mid-end,3.5,512
Other,309365.0,Intel,No,16,LP5,LCD,Intel,0,Intel I5,Small,Low-end,3.5,256
HP,311465.0,AMD,No,16,LP4,LED,AMD,0,AMD Ryzen 5,Small,Entry-level,4.0,512
Lenovo,356615.0,AMD,No,16,5,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,3.5,512
ASUS,183225.0,Intel,No,16,4,LCD,Intel,0,Intel I5,Small,Low-end,2.5,512
Dell,381465.0,AMD,Yes,16,5,LCD,NVIDIA,0,AMD Ryzen 9,Small,Mid-end,3.5,1024
HP,545678.0,Intel,Yes,16,5,LED,Intel,0,Intel I7,Large,Mid-end,4.5,512
Lenovo,297150.0,AMD,Yes,16,LP4,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,2.0,512
ASUS,500115.0,AMD,Yes,16,5,LCD,NVIDIA,0,AMD Ryzen 9,Large,Mid-end,5.0,1024
Dell,286615.0,Intel,Yes,16,LP5,LCD,Intel,0,Intel I7,Small,Entry-level,3.5,512
