Brand,Price,Processor_Brand,RAM_Expandable,RAM_Size (GB),RAM_TYPE(DDR),Ghz,Display_type,GPU_Brand,SSD(GB),HDD(GB),Display_Tier,GPU_Tier,Processor_Tier,Processor_Speed(Ghz)
Hp,118923.0,AMD,Yes,8,4,4.0,LCD,AMD,512.0,0,Small,Entry-level,Low-End,4.0
Other,139965.0,Intel,Yes,8,4,3.1,LED,Intel,512.0,0,Large,Low-end,Other,3.0
Lenovo,143465.0,Intel,Yes,8,4,3.0,LCD,Intel,512.0,0,Large,Entry-level,Other,3.0
Asus,168658.0,Intel,Yes,8,4,1.0,LED,Intel,512.0,0,Large,Entry-level,Other,1.0
Other,180215.0,AMD,No,8,4,2.1,LED,AMD,512.0,0,Small,Low-end,Mid-End,2.0
Acer,94496.5,Intel,Yes,8,4,3.0,LCD,Intel,256.0,0,Small,Entry-level,Other,3.0
Other,104965.0,Intel,Yes,8,4,1.2,LCD,Intel,256.0,0,Small,Entry-level,Other,1.0
Lenovo,178465.0,Intel,Yes,16,4,2.4,LCD,Intel,512.0,0,Large,Low-end,Other,2.5
Acer,97965.0,Intel,Yes,8,4,3.0,LCD,Intel,512.0,0,Small,Entry-level,Other,3.0
Lenovo,143465.0,Intel,Yes,8,4,2.5,LCD,Intel,512.0,0,Large,Low-end,Other,2.5
Lenovo,192465.0,Intel,Yes,8,4,2.4,LCD,Intel,512.0,0,Large,Entry-level,Other,2.5
Msi,202996.5,Intel,No,8,4,2.4,LED,NVIDIA,512.0,0,Large,Mid-end,Other,2.5
Hp,160615.0,Intel,Yes,8,4,3.4,LED,Intel,512.0,0,Small,Entry-level,Other,3.5
Lenovo,185500.0,Intel,No,8,4,2.5,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,2.5
Asus,195965.0,Intel,No,8,4,2.5,LED,NVIDIA,512.0,0,Large,Mid-end,Other,2.5
Hp,145215.0,Intel,Yes,8,4,4.2,LCD,Intel,512.0,0,Small,Entry-level,Other,4.0
Lenovo,185500.0,Intel,Yes,8,4,2.5,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,2.5
Lenovo,136465.0,AMD,Yes,16,4,2.1,LCD,AMD,512.0,0,Large,Entry-level,Mid-End,2.0
Other,115465.0,Intel,No,8,4,1.2,LCD,Intel,512.0,0,Large,Entry-level,Other,1.0
Hp,132615.0,AMD,Yes,8,4,2.6,LED,AMD,256.0,0,Large,Entry-level,Low-End,2.5
Hp,97965.0,AMD,Yes,8,4,2.6,LCD,AMD,256.0,0,Large,Entry-level,Low-End,2.5
Lenovo,121415.0,Intel,Yes,8,4,2.1,LED,Intel,256.0,0,Large,Entry-level,Other,2.0
Asus,216965.0,Intel,No,16,4,4.2,LED,Intel,512.0,0,Small,Low-end,Other,4.0
Other,223916.0,Intel,No,16,4,2.7385892116182573,LED,Intel,512.0,0,Large,Low-end,Other,2.5
Dell,120746.5,Intel,Yes,8,4,4.0,LCD,Intel,256.0,1024,Large,Entry-level,Other,4.0
Hp,233086.0,AMD,No,16,4,2.4,LCD,AMD,512.0,0,Small,Entry-level,Mid-End,2.5
Hp,129846.5,Intel,No,8,4,3.4,LCD,Intel,512.0,0,Large,Entry-level,Other,3.5
Hp,146996.5,AMD,No,8,4,2.1,LED,AMD,512.0,0,Large,Low-end,Mid-End,2.0
Other,148722.0,AMD,No,8,4,2.1,LED,AMD,512.0,0,Small,Low-end,Mid-End,2.0
Hp,190715.0,AMD,Yes,8,4,4.2,LCD,AMD,512.0,0,Small,Entry-level,Mid-End,4.0
Lenovo,113750.0,Intel,Yes,8,4,3.0,LCD,Intel,256.0,0,Large,Entry-level,Other,3.0
Asus,108150.0,Intel,No,4,4,3.0,LED,Intel,256.0,0,Large,Entry-level,Other,3.0
Hp,213496.5,Intel,Yes,8,4,2.0,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,2.0
Hp,138761.0,Intel,No,8,4,2.7385892116182573,LED,Intel,256.0,0,Small,Entry-level,Other,2.5
Asus,132965.0,AMD,Yes,8,5,4.0,LED,AMD,512.0,0,Large,Entry-level,Low-End,4.0
Asus,216646.5,AMD,Yes,16,4,4.2,LCD,AMD,512.0,0,Large,Entry-level,High-End,4.0
Lenovo,164465.0,Intel,Yes,8,4,3.3,LCD,Intel,512.0,0,Large,Low-end,Other,3.5
Asus,237965.0,AMD,No,16,4,2.9,LED,NVIDIA,512.0,0,Large,Mid-end,High-End,3.0
Hp,176046.5,Intel,Yes,8,4,2.7385892116182573,LED,Intel,512.0,0,Large,Low-end,Other,2.5
Lenovo,202965.0,Intel,Yes,16,4,3.3,LCD,Intel,512.0,0,Large,Low-end,Other,3.5
Asus,195965.0,Intel,Yes,8,4,4.7,LED,NVIDIA,512.0,0,Large,Mid-end,Other,4.5
Other,167996.5,Intel,No,8,4,1.0,LCD,Intel,512.0,0,Small,Entry-level,Other,1.0
Lenovo,129115.0,Intel,No,8,4,4.2,LCD,Intel,256.0,0,Small,Entry-level,Other,4.0
Hp,182647.5,Intel,No,8,4,4.0,LED,Intel,256.0,0,Small,Entry-level,Other,4.0
Lenovo,139650.0,Intel,Yes,8,4,1.7,LCD,Intel,512.0,0,Small,Entry-level,Other,1.5
Hp,188996.5,AMD,Yes,8,4,3.3,LED,AMD,512.0,0,Large,Mid-end,Mid-End,3.5
Dell,132965.0,Intel,No,8,4,2.7385892116182573,LCD,Intel,512.0,0,Large,Entry-level,Other,2.5
Acer,174965.0,Intel,No,16,4,3.3,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,3.5
Hp,153996.5,AMD,No,8,4,3.4,LED,AMD,512.0,0,Small,Entry-level,Low-End,3.5
Lenovo,138068.0,Intel,Yes,8,4,3.0,LCD,Intel,512.0,0,Large,Entry-level,Other,3.0
Acer,171465.0,Intel,No,8,4,3.3,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,3.5
Hp,209300.0,Intel,Yes,8,4,4.2,LCD,Intel,512.0,0,Large,Low-end,Other,4.0
Lenovo,122850.0,Intel,No,8,4,3.0,LED,Intel,512.0,0,Large,Entry-level,Other,3.0
Hp,196224.0,AMD,No,8,4,3.0,LED,NVIDIA,512.0,0,Large,Mid-end,Mid-End,3.0
Dell,129465.0,Intel,Yes,8,4,0.8,LCD,Intel,512.0,0,Large,Entry-level,Other,1.0
Acer,202965.0,Intel,No,16,4,3.3,LCD,NVIDIA,512.0,0,Large,Entry-level,Other,3.5
Lenovo,205765.0,Intel,No,16,4,2.7385892116182573,LED,Intel,512.0,0,Large,Low-end,Other,2.5
Acer,188615.0,Intel,No,8,4,3.3,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,3.5
Lenovo,101465.0,AMD,Yes,8,5,2.4,LCD,AMD,512.0,0,Large,Low-end,Other,2.5
Hp,180215.0,Intel,No,8,4,4.2,LCD,Intel,512.0,0,Large,Low-end,Other,4.0
Hp,134750.0,Intel,No,8,4,2.7385892116182573,LED,Intel,512.0,0,Large,Entry-level,Other,2.5
Hp,269496.5,Intel,Yes,16,4,4.8,LED,Intel,1024.0,0,Small,Low-end,Other,5.0
Dell,111965.0,AMD,Yes,8,4,2.3,LCD,AMD,256.0,0,Large,Entry-level,Other,2.5
Msi,216965.0,AMD,Yes,16,4,3.1,LCD,AMD,512.0,0,Large,Mid-end,High-End,3.0
Msi,167191.5,Intel,Yes,8,4,2.7,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,2.5
Acer,220465.0,Intel,Yes,8,4,3.3,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,3.5
Acer,97212.5,Intel,Yes,4,4,1.2,LED,Intel,512.0,0,Small,Entry-level,Other,1.0
Lenovo,122465.0,Intel,No,4,4,2.1,LED,Intel,256.0,0,Large,Entry-level,Other,2.0
