Price,RAM_Expandable,RAM,RAM_TYPE(DDR),Display_type,Processor_Tier,Processor_Speed(Ghz),Display_Tier,GPU_Tier,SSD(GB),HDD(GB),Brand_Acer,Brand_Apple,Brand_Dell,Brand_HP,Brand_Lenovo,Brand_MSI,Brand_Other,Brand_Samsung,Processor_Apple,Processor_Intel,GPU_Apple,GPU_Intel,GPU_NVIDIA
118923.0,1,8,4,0,0.0,4.0,1,1,512,0,False,False,False,True,False,False,False,False,False,False,False,False,False
127295.0,0,4,4,1,0.0,2.5,2,1,0,1024,False,False,False,False,True,False,False,False,False,True,False,True,False
139965.0,1,8,4,1,1.0,3.0,2,2,512,0,False,False,False,False,False,False,True,False,False,True,False,True,False
143465.0,1,8,4,0,0.0,3.0,2,1,512,0,False,False,False,False,True,False,False,False,False,True,False,True,False
115244.5,0,8,4,1,1.0,1.5,2,2,0,1024,False,False,False,False,True,False,False,False,False,True,False,False,True
168658.0,1,8,4,1,1.0,1.0,2,1,512,0,False,False,False,False,False,False,False,False,False,True,False,True,False
180215.0,0,8,4,1,1.0,2.0,1,2,512,0,False,False,False,False,False,False,True,False,False,False,False,False,False
94496.5,1,8,4,0,0.0,3.0,1,1,256,0,True,False,False,False,False,False,False,False,False,True,False,True,False
104965.0,1,8,4,0,0.0,1.0,1,1,256,0,False,False,False,False,False,False,True,False,False,True,False,True,False
178465.0,1,16,4,0,1.0,2.5,2,2,512,0,False,False,False,False,True,False,False,False,False,True,False,True,False
97965.0,1,8,4,0,0.0,3.0,1,1,512,0,True,False,False,False,False,False,False,False,False,True,False,True,False
141925.0,1,8,4,1,0.0,3.0,2,1,0,1024,False,False,False,True,False,False,False,False,False,True,False,True,False
143465.0,1,8,4,0,1.0,2.5,2,2,512,0,False,False,False,False,True,False,False,False,False,True,False,True,False
192465.0,1,8,4,0,1.0,2.5,2,1,512,0,False,False,False,False,True,False,False,False,False,True,False,True,False
202996.5,0,8,4,1,1.0,2.5,2,3,512,0,False,False,False,False,False,True,False,False,False,True,False,False,True
160615.0,1,8,4,1,0.0,3.5,1,1,512,0,False,False,False,True,False,False,False,False,False,True,False,True,False
185500.0,0,8,4,0,1.0,2.5,2,3,512,0,False,False,False,False,True,False,False,False,False,True,False,False,True
195965.0,0,8,4,1,1.0,2.5,2,3,512,0,False,False,False,False,False,False,False,False,False,True,False,False,True
145215.0,1,8,4,0,0.0,4.0,1,1,512,0,False,False,False,True,False,False,False,False,False,True,False,True,False
185500.0,1,8,4,0,1.0,2.5,2,3,512,0,False,False,False,False,True,False,False,False,False,True,False,False,True
136465.0,1,16,4,0,1.0,2.0,2,1,512,0,False,False,False,False,True,False,False,False,False,False,False,False,False
115465.0,0,8,4,0,0.0,1.0,2,1,512,0,False,False,False,False,False,False,True,False,False,True,False,True,False
132615.0,1,8,4,1,0.0,2.5,2,1,256,0,False,False,False,True,False,False,False,False,False,False,False,False,False
97965.0,1,8,4,0,0.0,2.5,2,1,256,0,False,False,False,True,False,False,False,False,False,False,False,False,False
121415.0,1,8,4,1,0.0,2.0,2,1,256,0,False,False,False,False,True,False,False,False,False,True,False,True,False
216965.0,0,16,4,1,1.0,4.0,1,2,512,0,False,False,False,False,False,False,False,False,False,True,False,True,False
223916.0,0,16,4,1,1.0,2.5,2,2,512,0,False,False,False,False,False,False,True,False,False,True,False,True,False
120746.5,1,8,4,0,0.0,4.0,2,1,256,1024,False,False,True,False,False,False,False,False,False,True,False,True,False
233086.0,0,16,4,0,1.0,2.5,1,1,512,0,False,False,False,True,False,False,False,False,False,False,False,False,False
129846.5,0,8,4,0,0.0,3.5,2,1,512,0,False,False,False,True,False,False,False,False,False,True,False,True,False
146996.5,0,8,4,1,1.0,2.0,2,2,512,0,False,False,False,True,False,False,False,False,False,False,False,False,False
148722.0,0,8,4,1,1.0,2.0,1,2,512,0,False,False,False,False,False,False,True,False,False,False,False,False,False
190715.0,1,8,4,0,1.0,4.0,1,1,512,0,False,False,False,True,False,False,False,False,False,False,False,False,False
113750.0,1,8,4,0,0.0,3.0,2,1,256,0,False,False,False,False,True,False,False,False,False,True,False,True,False
108150.0,0,4,4,1,0.0,3.0,2,1,256,0,False,False,False,False,False,False,False,False,False,True,False,True,False
213496.5,1,8,4,0,1.0,2.0,2,3,512,0,False,False,False,True,False,False,False,False,False,True,False,False,True
138761.0,0,8,4,1,0.0,2.0,1,1,256,0,False,False,False,True,False,False,False,False,False,True,False,True,False
132965.0,1,8,5,1,0.0,4.0,2,1,512,0,False,False,False,False,False,False,False,False,False,False,False,False,False
