Brand,Price,Processor_Brand,RAM_Expandable,RAM_Size (GB),RAM_TYPE,Processer_speed,Display_type,GPU_Brand,SSD(GB),HDD(GB),Processor_Series,Processor_Tier,Display_Category,GPU_Tier
ASUS,367465.0,Intel,Yes,16,DDR4,2.3,LCD,NVIDIA,512,0,Intel Core I7,Upper Mid-End,Medium,High-end
HP,192465.0,Intel,Yes,8,DDR4,1.7,LCD,Intel,512,0,Intel Core I3,Low-End,Small,Entry-level
Apple,542150.0,Apple,No,8,DDR5,3.5,LCD,Apple,512,0,Apple M-series,Apple M-series,Medium,High-end
Dell,276496.5,Intel,No,8,DDR4,2.4,LED,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
Apple,524615.0,Apple,No,8,DDR5,3.5,LCD,Apple,512,0,Apple M-series,Apple M-series,Medium,High-end
Apple,466389.0,Apple,No,8,DDR5,3.5,LCD,Apple,256,0,Apple M-series,Apple M-series,Medium,High-end
Apple,472150.0,Apple,No,8,DDR5,3.5,LCD,Apple,256,0,Apple M-series,Apple M-series,Medium,High-end
Apple,460323.5,Apple,No,8,DDR5,3.5,LCD,Apple,256,0,Apple M-series,Apple M-series,Medium,High-end
HP,279965.0,AMD,Yes,16,DDR4,4.7,LCD,NVIDIA,512,0,AMD Ryzen 7,Upper Mid-End,Large,Mid-end
Dell,222246.5,Intel,Yes,8,DDR4,1.7,LCD,Intel,512,0,Intel Core I3,Low-End,Small,Entry-level
Lenovo,243215.0,AMD,Yes,8,DDR4,4.2,LCD,NVIDIA,512,0,AMD Ryzen 5,Mid-End,Medium,Mid-end
Dell,139996.5,Intel,Yes,8,DDR4,4.8,LCD,Intel,0,1024,Intel Core I3,Low-End,Medium,Entry-level
Lenovo,216086.5,AMD,No,8,DDR4,3.3,LED,NVIDIA,512,0,AMD Ryzen 5,Mid-End,Medium,Mid-end
HP,120400.0,Intel,No,4,DDR4,1.2,LED,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
Lenovo,125265.0,AMD,Yes,8,DDR4,2.1,LCD,AMD,512,0,AMD Ryzen 5,Mid-End,Medium,Low-end
Acer,286930.0,Intel,No,8,DDR4,4.2,LED,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
Dell,188965.0,Intel,Yes,8,DDR4,2.4,LCD,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
ASUS,223965.0,AMD,Yes,16,DDR4,3.1,LCD,NVIDIA,512,0,AMD Ryzen 7,Upper Mid-End,Medium,Mid-end
HP,260400.0,Intel,Yes,16,DDR4,4.2,LCD,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
Dell,129115.0,Intel,No,8,DDR4,0.8,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
ASUS,320250.0,Intel,Yes,16,DDR5,2.3,LCD,NVIDIA,1024,0,Intel Core I7,Upper Mid-End,Medium,Mid-end
HP,132965.0,Intel,Yes,8,DDR4,4.2,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
Lenovo,300996.5,Intel,No,16,DDR4,2.3,LED,NVIDIA,512,0,Intel Core I7,Upper Mid-End,Medium,Mid-end
Dell,125965.0,Intel,No,8,DDR4,3.0,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
