Brand,Price,Processor_Brand,RAM_Expandable,RAM_Capacity,RAM_TYPE(DDR),Display_type,GPU_Brand,Operating_System,Processor_Tier,Processor_Speed(Ghz),Display_Tier,GPU_Tier,SSD(GB),HDD(GB)
5,122465.0,2,0,4,3,1,2,3,0.0,2.0,1,1,256,0
5,88200.0,2,0,4,3,1,2,4,0.0,3.0,1,1,256,0
4,192496.5,2,1,8,3,0,2,4,1.0,4.0,1,2,512,0
7,116865.0,2,0,8,4,0,2,4,1.0,1.0,1,1,512,0
5,252000.0,0,0,16,3,0,3,4,1.0,3.5,1,3,512,0
4,176988.0,0,0,16,3,0,0,4,1.0,4.0,1,1,512,0
3,125996.5,2,1,8,3,1,2,3,0.0,1.0,1,1,256,1024
3,155225.0,2,0,8,3,0,2,4,0.0,1.0,1,1,256,1024
5,89215.0,2,1,8,3,0,2,4,0.0,3.0,1,1,256,0
1,360465.0,2,0,16,3,0,3,4,2.0,3.0,1,4,1024,0
4,218715.0,2,0,8,3,0,2,4,1.0,4.0,1,2,512,0
0,62965.0,2,0,4,4,0,2,0,0.0,1.0,1,1,128,0
4,193900.0,2,0,8,3,0,3,4,1.0,2.5,2,3,512,0
5,97965.0,0,1,8,6,0,0,4,0.0,2.5,1,1,512,0
5,213465.0,2,1,8,3,1,3,3,1.0,2.5,1,3,256,1024
4,213150.0,2,1,16,3,0,3,4,1.0,4.0,2,3,512,0
4,156800.0,0,0,16,3,0,0,4,1.0,4.0,1,1,512,0
4,171465.0,0,1,16,3,0,0,4,2.0,4.0,1,1,512,0
6,237965.0,2,1,8,3,1,3,1,2.0,3.0,1,3,0,1024
1,80146.5,0,1,4,3,0,0,4,0.0,2.5,1,1,256,0
0,206465.0,0,1,16,3,0,0,4,2.0,4.0,2,1,512,0
1,423430.0,2,1,16,5,0,3,4,2.0,3.0,2,3,512,0
4,259875.0,2,1,8,3,0,2,4,1.0,4.5,1,2,512,0
4,238700.0,2,1,8,3,1,3,3,1.0,3.0,1,3,256,1024
7,55965.0,2,1,4,4,0,2,4,0.0,3.0,1,1,128,0
0,139965.0,2,0,8,3,0,2,4,0.0,1.0,1,1,0,1024
0,199846.5,2,1,8,3,1,2,4,1.0,4.0,1,2,256,1024
6,150465.0,2,0,16,3,0,2,4,1.0,3.5,1,2,512,0
4,209965.0,2,0,8,3,1,2,3,1.0,2.5,1,2,512,0
5,169438.5,2,1,8,3,0,3,4,1.0,3.5,1,3,512,0
0,260750.0,2,0,16,3,0,3,4,1.0,3.5,2,3,512,0
7,73465.0,2,1,4,4,0,2,4,0.0,3.0,1,1,128,0
1,241465.0,2,1,8,3,0,3,4,1.0,4.0,1,3,512,0
6,250215.0,2,1,8,3,0,3,3,2.0,2.5,1,3,512,0
4,124250.0,2,1,8,3,0,2,4,0.0,4.0,1,1,512,0
1,227465.0,2,0,16,3,0,3,4,1.0,4.0,1,3,512,0
6,244965.0,2,0,16,3,1,3,3,1.0,2.5,1,3,512,0
0,181265.0,2,0,8,3,1,2,3,1.0,2.5,1,2,0,1024
6,222470.5,2,0,16,3,1,3,3,2.0,3.0,1,3,512,0
5,127050.0,2,0,8,3,0,2,4,0.0,3.5,1,1,512,0
4,194215.0,0,1,8,3,0,0,4,1.0,4.0,1,1,512,0
1,111965.0,2,1,8,3,0,2,4,0.0,3.5,1,1,512,0
3,160965.0,2,1,8,3,0,2,4,1.0,3.5,1,1,512,0
7,132996.5,2,0,8,3,0,2,4,0.0,1.5,1,2,512,0
7,104965.0,2,0,16,4,0,2,4,1.0,2.5,1,2,512,0
5,182350.0,0,0,16,3,1,0,3,2.0,2.0,1,1,512,0
5,125965.0,2,0,8,3,1,2,3,0.0,3.0,1,1,512,0
7,146965.0,0,1,8,3,0,0,4,1.0,2.0,1,1,512,0
2,524650.0,1,0,8,5,0,1,6,,3.5,1,4,512,0
4,208215.0,2,0,8,3,0,3,4,1.0,4.0,1,3,512,0
5,96215.0,0,1,8,3,0,0,4,0.0,2.5,1,1,512,0
7,101465.0,2,0,8,4,0,2,4,1.0,2.5,1,2,512,0
1,279965.0,2,0,16,6,1,2,4,1.0,2.5,1,2,512,0
3,223996.5,2,1,8,3,0,2,4,0.0,4.0,1,1,256,0
4,178465.0,0,0,16,6,0,0,4,1.0,4.0,1,1,512,0
4,162715.0,0,1,8,6,0,0,4,1.0,3.0,1,1,512,0
1,332465.0,2,1,16,5,0,3,4,1.0,2.5,2,3,512,0
4,238742.0,0,1,8,3,0,3,4,1.0,4.0,2,3,512,0
5,129465.0,2,1,8,3,0,2,4,0.0,2.0,1,1,0,1024
5,234465.0,2,1,8,3,0,3,4,1.0,3.0,1,3,512,0
4,213465.0,0,0,16,3,0,3,4,1.0,3.5,1,3,512,0
5,202965.0,0,1,8,3,0,3,4,1.0,3.5,1,3,512,0
5,200550.0,2,0,8,3,1,2,3,0.0,3.0,1,1,512,0
0,127736.0,2,1,8,3,0,2,4,0.0,3.0,1,1,512,0
1,167965.0,0,1,8,3,0,3,4,1.0,3.5,1,3,512,0
3,181996.5,2,0,16,3,0,2,4,1.0,2.5,1,1,512,0
4,195996.5,0,1,16,3,0,0,4,1.0,3.5,1,3,512,0
4,230965.0,2,1,16,3,0,3,4,1.0,4.0,1,3,512,0
3,263550.0,0,1,8,3,1,0,3,1.0,3.0,1,3,512,0
4,271215.0,2,1,16,3,0,3,4,2.0,4.5,1,3,512,0
0,100450.0,2,0,8,3,0,2,4,0.0,1.0,1,1,0,1024
4,306215.0,2,0,16,3,0,2,4,2.0,4.5,1,2,1024,0
5,110778.5,0,0,8,3,0,0,4,0.0,2.5,1,1,512,0
4,244965.0,2,1,8,3,0,3,4,1.0,4.5,2,3,512,0
6,111965.0,2,0,8,3,0,2,4,0.0,1.0,1,1,512,0
1,318465.0,2,0,16,3,0,3,4,2.0,3.0,1,3,512,0
5,167965.0,0,0,16,3,0,0,4,2.0,2.0,1,1,512,0
4,216965.0,2,1,8,3,0,2,4,1.0,4.5,1,2,512,0
4,100796.5,2,1,8,3,0,2,4,0.0,3.5,1,1,256,0
3,142975.0,2,1,8,3,1,2,3,0.0,3.0,1,1,256,1024
4,119259.0,0,0,8,3,1,0,3,0.0,2.5,1,1,512,0
4,95865.0,0,1,8,3,0,0,1,0.0,4.0,1,1,512,0
3,139296.5,2,1,4,3,1,2,3,0.0,1.5,1,1,256,0
0,164465.0,2,0,8,4,0,2,4,0.0,3.0,1,1,256,0
7,164465.0,2,0,8,3,0,2,3,1.0,2.5,1,1,512,0
4,222831.0,0,0,16,5,0,0,4,1.0,3.0,1,1,512,0
4,252665.0,2,0,16,3,0,2,4,1.0,2.5,1,2,512,0
3,111965.0,2,1,8,3,0,2,4,0.0,1.5,1,1,512,0
0,115465.0,0,1,8,3,0,0,4,0.0,3.5,1,1,256,0
3,171465.0,2,1,8,3,0,2,4,1.0,3.5,1,1,512,0
1,192465.0,2,0,8,3,1,2,4,1.0,2.5,1,2,512,0
5,243250.0,2,0,8,3,1,3,3,1.0,4.0,1,2,256,1024
3,223965.0,2,1,8,3,0,2,4,1.0,3.5,1,1,256,1024
5,395496.5,0,1,16,3,0,3,4,2.0,3.5,1,3,512,0
3,157496.5,2,1,8,3,1,2,3,1.0,2.5,1,2,512,0
6,170765.0,2,1,8,3,0,3,4,1.0,4.0,1,3,512,0
0,153429.5,2,1,8,3,0,2,4,0.0,1.0,1,1,512,0
4,209996.5,2,1,8,3,0,2,4,1.0,4.5,1,2,1024,0
4,306400.5,2,1,16,3,0,2,4,2.0,2.5,1,2,1024,0
5,184989.0,2,0,16,3,0,3,4,1.0,2.5,1,3,512,0
3,269496.5,2,1,8,3,1,2,3,1.0,2.5,1,2,512,0
6,325465.0,2,1,16,5,0,3,4,2.0,4.5,1,3,512,0
4,199496.5,2,0,16,3,0,2,4,1.0,3.5,1,1,512,0
0,150465.0,2,1,8,3,0,2,4,1.0,1.0,1,1,512,0
7,139965.0,2,0,8,3,0,2,4,0.0,4.0,1,1,256,0
6,155816.5,2,1,8,3,0,2,3,0.0,3.0,1,1,512,0
5,238000.0,0,1,8,3,1,3,3,1.0,3.0,1,3,512,0
3,143850.0,2,0,8,3,1,2,3,0.0,1.0,1,1,0,1024
4,273000.0,2,0,16,3,0,2,4,1.0,4.0,1,2,512,0
4,261530.5,2,0,8,3,0,2,4,1.0,4.5,1,2,512,0
4,92365.0,0,1,8,3,0,0,4,0.0,1.0,1,2,512,0
7,139965.0,2,0,16,3,0,2,4,1.0,4.0,1,2,512,0
5,251825.0,2,0,8,3,1,3,3,1.0,3.0,1,3,512,0
3,117498.5,0,1,8,3,0,0,4,0.0,2.5,1,1,0,1024
0,227465.0,2,0,16,3,0,2,4,2.0,2.5,1,1,512,0
7,132965.0,2,0,8,3,0,2,4,1.0,2.5,1,2,512,0
3,153965.0,2,0,8,3,0,2,4,1.0,2.5,1,1,512,0
5,234465.0,2,1,16,6,0,2,4,1.0,2.5,2,2,512,0
1,524965.0,2,1,16,5,0,3,4,2.0,2.0,2,3,1024,0
5,223965.0,0,1,8,5,0,3,4,1.0,3.5,1,3,512,0
5,174982.5,2,0,8,3,0,2,4,0.0,4.0,1,1,256,0
1,173008.5,2,0,8,3,0,2,4,1.0,2.5,1,2,512,0
0,386715.0,0,1,16,3,0,3,4,2.0,4.5,1,3,512,0
5,349387.5,0,1,16,3,0,3,4,2.0,4.0,1,3,1024,0
4,234496.5,2,1,16,3,0,3,4,1.0,4.0,1,3,512,0
4,314965.0,2,0,16,3,1,2,4,2.0,4.5,1,2,1024,0
1,384965.0,2,1,16,3,1,3,3,1.0,2.5,1,3,128,1024
4,150496.5,2,1,8,3,0,2,4,0.0,4.0,1,1,512,0
3,136363.5,0,1,8,3,0,0,4,0.0,2.5,1,1,256,0
0,199465.0,2,1,16,3,0,2,4,2.0,3.0,1,2,512,0
3,165154.5,2,1,8,3,1,3,3,1.0,2.5,1,2,256,1024
6,150465.0,2,0,8,3,0,3,4,1.0,4.0,1,3,512,0
3,148015.0,2,1,4,3,0,2,4,0.0,1.0,1,1,256,1024
5,247800.0,2,0,8,3,0,3,4,1.0,3.0,1,3,256,1024
3,220496.5,2,0,8,3,1,2,3,1.0,1.5,1,1,512,0
5,80465.0,0,1,4,3,0,0,1,0.0,2.5,1,1,256,0
5,220496.5,2,0,16,3,1,3,3,1.0,2.5,1,2,512,0
4,85746.5,0,0,4,1,1,0,1,0.0,2.0,1,1,0,1024
5,297465.0,2,1,16,5,0,3,4,1.0,3.5,1,3,512,0
0,227465.0,0,0,16,3,1,0,4,1.0,4.0,1,1,512,0
4,174996.5,2,1,8,3,0,2,4,0.0,1.0,1,1,512,0
4,213150.0,2,0,8,3,1,2,4,1.0,2.5,1,1,512,0
3,191621.5,2,1,8,3,0,2,4,1.0,2.5,1,1,256,1024
5,216965.0,2,1,16,6,0,2,4,1.0,2.0,2,1,512,0
0,227465.0,2,1,8,3,0,2,4,1.0,4.5,1,2,512,0
0,223965.0,2,0,16,3,0,2,4,1.0,2.5,1,2,512,0
0,202965.0,0,0,16,3,0,0,4,1.0,3.0,2,2,512,0
3,199496.5,2,1,8,3,1,3,3,1.0,2.5,1,2,512,0
4,280406.0,2,0,16,3,0,2,4,1.0,4.0,1,2,512,0
5,104965.0,0,1,4,3,0,0,3,0.0,2.5,1,1,256,0
3,142803.5,2,1,4,3,1,2,3,0.0,2.0,1,1,256,1024
5,286965.0,0,1,16,3,0,3,4,2.0,3.0,1,3,512,0
4,157465.0,2,1,8,3,0,2,4,0.0,3.5,1,2,512,0
4,152211.5,2,1,8,3,0,2,4,0.0,3.5,1,1,512,0
5,160965.0,2,1,8,6,0,2,4,0.0,3.5,1,1,512,0
6,304465.0,2,0,16,3,0,3,4,1.0,3.5,1,3,256,1024
5,213150.0,0,1,8,3,1,3,3,1.0,3.0,1,3,512,0
4,293965.0,2,0,16,3,0,2,4,2.0,3.5,1,2,1024,0
5,87552.5,0,0,4,3,1,0,3,0.0,2.5,1,1,0,1024
5,84175.0,0,1,4,3,0,0,1,0.0,2.5,1,1,256,0
4,276150.0,2,1,16,3,0,2,4,1.0,3.5,1,1,1024,0
3,184800.0,2,0,16,3,0,2,4,1.0,4.0,1,2,512,0
7,111965.0,2,0,8,3,0,2,4,0.0,4.0,1,1,512,0
0,230965.0,0,1,16,3,0,3,4,1.0,4.0,1,3,512,0
1,185150.0,2,0,8,3,1,2,3,1.0,2.5,1,2,0,1024
3,194246.5,2,1,4,3,1,2,3,1.0,4.0,1,2,256,1024
8,216965.0,2,0,16,3,1,2,4,2.0,4.5,1,2,512,0
7,178465.0,2,0,16,3,0,2,4,2.0,2.5,1,2,512,0
0,134400.0,2,0,8,3,0,2,4,0.0,3.0,1,1,512,0
7,185465.0,2,0,16,3,0,2,4,2.0,2.5,1,2,1024,0
0,220465.0,2,1,8,3,0,3,4,1.0,2.5,1,3,1024,0
3,166215.0,2,1,8,3,0,2,4,1.0,4.0,1,1,512,0
4,284196.5,2,0,16,4,0,2,4,1.0,2.5,1,2,512,0
0,185465.0,0,0,16,3,0,0,4,1.0,3.5,2,1,512,0
1,107551.5,2,0,8,3,1,2,4,0.0,4.0,1,1,256,0
3,243950.0,2,1,16,5,0,3,4,1.0,3.5,1,3,512,0
5,90996.5,2,0,4,3,0,2,4,0.0,3.0,1,1,256,0
3,137462.5,2,0,8,3,0,2,4,0.0,4.0,1,1,256,0
5,213465.0,2,1,16,3,0,2,4,1.0,2.5,1,2,512,0
1,111965.0,2,0,8,4,0,2,4,0.0,4.0,1,1,512,0
3,231752.5,0,1,8,5,0,3,4,1.0,3.5,1,3,512,0
7,160965.0,2,0,16,4,0,2,4,2.0,1.5,1,1,512,0
5,220500.0,2,0,8,3,1,3,3,1.0,3.0,1,3,512,0
5,197746.5,2,1,8,3,1,2,3,1.0,2.5,1,1,512,0
5,342965.0,2,1,16,5,0,3,4,2.0,2.5,1,3,512,0
2,570465.0,2,0,8,2,1,2,6,1.0,2.5,1,2,512,0
6,227465.0,2,0,8,3,0,3,4,2.0,4.5,1,3,512,0
1,255146.5,2,1,16,3,0,3,4,1.0,3.5,1,3,512,0
5,131911.5,2,0,8,3,0,2,4,0.0,5.0,1,1,256,0
3,243215.0,2,1,16,3,0,3,4,1.0,2.5,1,3,512,0
2,381465.0,1,0,8,5,0,1,6,,3.5,1,4,512,0
7,314965.0,2,0,16,4,0,2,4,1.0,4.5,1,2,512,0
1,132615.0,2,0,8,3,1,2,3,0.0,2.0,1,1,0,1024
